sha256,Malware Name,OS,Category
384b99a3cf559d7cb130d870de433fc2f02a359e6929131f02d351ea83785c4c,Agenttesla,Windows,Infostealer
01b2950054c323053588464b4ccd6525e50f7a0de4616af228368b5e750a7d6b,Agenttesla,Windows,Infostealer
f6ad67ef349b0abb039ce734f8cb09ccd46762c26465828d0c10317ad4f998c4,Agenttesla,Windows,Infostealer
03464e2a9721e7a351f8f9f8c878fb469839c7b12097f30b6bc987da10bdb920,Agenttesla,Windows,Infostealer
1c47eba374d49cd0a1a90cbd1668854b0fff5dc9b774db190acfc6d15f753dec,Agenttesla,Windows,Infostealer
0c33297e293bffec0a5728c9553044a89b5b4ef7389b2a45fb460dbc0fdf838a,Agenttesla,Windows,Infostealer
19faeafd87bf62719caf8e3a73e532a08aa7cb773ba38591a57a75d787b6cfb9,Agenttesla,Windows,Infostealer
dd1d7116641dba5c1af7958b71bfe24c2d60a8a7639326ebeb7fdd113d8a91c7,Agenttesla,Windows,Infostealer
55811a0af43d765d559602ced547b77f4b996bed802a609fe33060eb5aab6b64,Agenttesla,Windows,Infostealer
5bdb69e2616c469311b043ec2796936ad43ddc2fac95194864fde17985e8c7fa,Agenttesla,Windows,Infostealer
62d82f34c8097bff09c978e68b5c96bcf809fb93236c025993a6ea92a1231039,Agenttesla,Windows,Infostealer
